Dutch,English,Additional Info
soms,sometimes,
vorige,previous,
wil je meedoen?,do you want to join?,
elkaar ontmoeten,meet each other,
prima voor mij,fine for me,
Doe maar een biertje,Give me a beer,
tegenkomen,"come across, meet",
het probleem,problem,
niet zo,not so,
belangrijk,important,
een par dagen,a few days,
prachtig,"fine, splendid",
romantisch,romantic,
direct,"right now, immediately",
iets,sth,
afspreken,make an appointment,
de afspraak,"date, appointment",
de datum,date,
dat lukt niet,that doesn't work,
dan,then,
blijf je ook eten?,will you stay also to eat?,
de agenda,agenda,
hartstikke leuk,"terrific, fantastic",
vind ik ook,I think so too,
gauw,quickly,
wensen,wish,
ik moet ervandoor,Ihave to go,
ervandoor gaan,"leave, go away",
ervandoor ,away,
doe de groeten aan,give my regards to ,
volgende,next,vorige = previous
tot dan,until then,
waar,TRUE,"niet waar = false, not true"
zullen we iets afspreken?,shall we plan sth / meet?,
uitstekend,excellent,
beantwoorden,reply (v),
spoedig,quick,snel
aanbieden,"offer, present",bood/boden aan - aangeboden
aandoen,"turn on (the light), put on (clothes)",deed/deden aan - aangedaan
aankijken,look at (a person),keek/keken aan - aangekeken
opkijken,look up,keek/keken op - opgekeken
aankomen,arrive,kwam/kwamen aan - aangekomen
aannemen,"assume, suppose",nam/namen aan - aangenomen
aansluiten,connect,sloot/sloten aan - aangesloten
aantrekken,attract,trok/trokken aan - aangetrokken
aanvragen,request,vroeg/vroegen aan - aangevraagd
aanwijzen,"indicate, point at",wees/wezen aan - aangewezen
aanzien,take some time to look at,zag/zagen aan - aangezien
begrijpen,understand,begreep/begrepen - begrepen
het varken,pig,
de paraplu,umbella,pl. paraplu's
let op,beware of,
als haringen in een ton zitten,packed like sardines,
de ton,barrel,
het bot,bone,pl. de botten
de duim,thumb,pl. de duimen
de nagel,nail,pl. de nagels
de regel,rule,pl. de regels
de appel,apple,pl. de appels
de toren,tower,pl. de torens
het bord,"plate, traffic sign",
de schepen varen op de zee,the ships sail on the sea,
de verkoper,salesman,
de doos,box,
de verdieping,floor,
spannend,exciting,
weleens,sometimes,soms
het filmpje,film,"a ""p"" is added because it's difficult to say ""filmje"""
op straat,on the street,
de klant,client,
op tafel,on the table,
de vergadering,meeting,
de baas,boss,
voorlezen,read out loud,
sinds vier jaar,since four years,
de golf,wave,pl. de golven
intussen,in the meantime,
boodschappen doen,go shopping,
de markt,market,
de groenteboer,greengrocer,
er,there,
wie is er aan de beurt?,who's next?,
de beurt,turn,
alsjeblieft,please,
klein,small,
geel,yellow,
de courgette,courgette,
de paprika,bell pepper,
mooi,nice,
de tomaat,tomato,
natuurlijk,of course,
anders/verder nog iets?,anything else?,
typisch,typical,
het gerecht,dish,
de buitenlander,foreigner,
de andijvie,endive,
heerlijk,delicious,
goedkoop,cheap,
hoeveel,how much,
nodig hebben,need,ik heb een tomaat nodig
de persoon,person,
ongeveer,"about, around",
de aardappel,potato,
de slager,butcher,
de bloemkool,cauliflower,
de peterselie,parsley,
het bosje,bunch,
het boontje,bean,
vers,fresh,
de knoflook,garlic,
de komkommer,cucumber,
genoeg,enough,
waarnaaroe,where to,
de euro,euro,
de cent,cent,
geeft niet,doesn't matter,
prettig,nice,
het weekend,weekend,
de sla ,lettuce,
de broccoli,broccoli,
de kool,cabbage,
de ui,onion,
de wortel,carrot,
de aardbei,strawberry,
de druif,grape,
de perzik,peach,
de pruim,plum,
de kers,cherry,
de peer,pear,
de sinaasappel,orange,
de mandarijn,mandarin,
de kiwi,kiwi,
de banaan,banana,
bruikbar,useful,
ik moet het bij de slager kopen,I have to buy it from the butcher,
de buren komen morgen bij Hans eten,the neighbors will come tomorrow at Hans to eat,
zeg het maar,tell me,
het feit,fact,
het konijn,rabbit,
de hoed,hat,
het raam,window,
tekenen,draw,
dragen,"carry, wear",
roken,smoke,
achterblijven,"remain, stay behind",bleef/bleven achter - achtergebleven
afkomen,get off (e.g. the ship),kwam/kwamen af - afgekomen
aflopen,expire,liep/liepen af - afgelopen
afnemen,decrease/decline,nam/namen af - afgenomen
afsluiten,"terminate, conclude",sloot/sloten af - afgesloten
bedenken,"invent, imagine",bedacht/bedachten - bedacht
bedragen,sum (v),bedroeg/bedroegen - bedragen
eigen,own,
ik ben mijn jas kwijt,I lost my jacket,
meenemen,bring,
de sjaal,scarf,
weggenlopen,run away,
boos,angry,
lief,"sweet, kind",
dun,skinny,
doof,deaf,
dik,fat,
de leeuw,lion,
de olifant,elephant,
de zebra,zebra,
de beer,bear,
smal,narrow,
grijs,gray,
krom,crooked,
zacht,soft,
rond,round,
blik,"tin, can",
het houd,timber,
het vlees,meat,
de fles,bottle,
het overhemd,shirt,
het gewicht,weight,
de pap,porridge,
